complaint,relevant_policy,policy_category,resolution,validity
"Dana Wu, using card ending 0044, purchased $120 worth of organic produce at 'Green Earth Foods', a specialty supermarket (Merchant Code 5411) last week but did not receive her 4% cashback.","You will earn 4% Cash Back on the first $25,000 you spend annually on eligible purchases on the Account at merchants classified in the Visa Inc. (Visa) network as Grocery Stores & Supermarkets (Merchant Code 5411) and Recurring Bill Payments.",Cashback - 4%,Apply missing 4% cashback for the eligible grocery purchase.,Valid: Purchase was at an eligible merchant and within the annual spending limit.
"Dana Wu is asking why she didn't get 4% cashback on her $300 purchase at 'Mega Wholesale Club' using her card ending 0044, as she bought mostly groceries there.","You will earn 4% Cash Back on the first $25,000 you spend annually on eligible purchases on the Account at merchants classified in the Visa Inc. (Visa) network as Grocery Stores & Supermarkets (Merchant Code 5411) and Recurring Bill Payments.",Cashback - 4%,"Explain that wholesale clubs are often not classified as Grocery Stores & Supermarkets (Merchant Code 5411) by Visa, even if they sell groceries, and are therefore not eligible for 4% cashback.",Invalid: Merchant not classified as eligible grocery store (often true for wholesale clubs).
Dana Wu purchased $50 worth of electronics along with $100 of groceries at 'FreshFoods Supermarket' (Merchant Code 5411) using card ending 0044 and is upset that she only received partial 4% cashback.,"Some merchants may sell these products/services or separate merchants who are located on the premises of these merchants, but are classified by Visa in another manner, in which case this added benefit would not apply.",Cashback - 4%,Explain that only the grocery portion of the purchase qualifies for cashback if the merchant codes differentiate categories within the store; electronics typically do not qualify.,Invalid: Non-food items purchased at a grocery store may not qualify based on internal merchant coding.
"Dana Wu's monthly electricity bill of $80 is automatically debited using her card ending 0044, but she hasn't seen the 4% cashback for the last two months.","Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account. Recurring Bill Payments are typically for payments on things like telecommunication, insurance, memberships, subscription payments, etc.",Cashback - 4%,"Apply missing 4% cashback for the recurring electricity bill payments, as utility bills generally fall under eligible recurring bill payments.",Valid: Eligible recurring utility bill payment and within annual spending limit.
"Dana Wu's $300 car loan payment is automatically debited each month from her card ending 0044, and she believes it should qualify for 4% cashback.","Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account. Recurring Bill Payments are typically for payments on things like telecommunication, insurance, memberships, subscription payments, etc.",Cashback - 4%,Explain that loan payments are not typically classified as eligible 'recurring bill payments' under the specified categories for 4% cashback.,Invalid: Loan payments are not eligible recurring bill payments.
Dana Wu has her quarterly property tax payment of $500 set up for automatic debit with her card ending 0044 and is complaining about not receiving 4% cashback.,"Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account. Recurring Bill Payments are typically for payments on things like telecommunication, insurance, memberships, subscription payments, etc.",Cashback - 4%,Explain that property tax payments are generally not classified as eligible 'recurring bill payments' for this cashback program.,Invalid: Property tax payments are not eligible recurring bill payments.
"Dana Wu, card ending 0044, has spent $24,500 on groceries and $1,500 on recurring bills this year. She's upset that her latest $1,000 grocery bill didn't receive 4% cashback.","You will earn 4% Cash Back on the first $25,000 you spend annually on eligible purchases on the Account at merchants classified in the Visa Inc. (Visa) network as Grocery Stores & Supermarkets (Merchant Code 5411) and Recurring Bill Payments.",Cashback - 4%,"Explain that the 4% cashback is capped at the first $25,000 spent annually *across both eligible categories combined*, and purchases beyond this limit are not eligible. In this case, she exceeded the combined limit.",Invalid: Exceeded annual spending limit for combined 4% cashback categories.
"Dana Wu is missing 4% cashback for her new monthly online software subscription of $25, which is set to auto-renew and billed to her card ending 0044.","Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account. Recurring Bill Payments are typically for payments on things like telecommunication, insurance, memberships, subscription payments, etc.",Cashback - 4%,Apply missing 4% cashback for the recurring software subscription payment.,Valid: Eligible recurring bill payment (subscription).
Dana Wu manually paid $70 online for a floral delivery for a friend's birthday and thinks it should count for 4% cashback as a 'bill payment'. She used her card ending 0044.,Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account.,Cashback - 4%,"Explain that this was a one-time manual purchase, not an automatically billed recurring payment, and it does not fall under eligible categories for 4% cashback.",Invalid: Not a recurring bill payment and not an eligible category.
Dana Wu purchased groceries totaling $150 (equivalent) while traveling in Europe and wonders why she didn't get 4% cashback on her card ending 0044.,"You will earn 4% Cash Back on the first $25,000 you spend annually on eligible purchases on the Account at merchants classified in the Visa Inc. (Visa) network as Grocery Stores & Supermarkets (Merchant Code 5411) and Recurring Bill Payments.",Cashback - 4%,Explain that transactions made outside of the domestic market may be classified differently by Visa or excluded from specific cashback programs.,Invalid: Foreign transactions may not qualify for domestic cashback programs.
"Dana Wu's monthly home security system monitoring fee of $40 is automatically charged to her card ending 0044, but she hasn't received 4% cashback for it.","Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account. Recurring Bill Payments are typically for payments on things like telecommunication, insurance, memberships, subscription payments, etc.",Cashback - 4%,"Apply missing 4% cashback for the recurring home security system payment, as it falls under eligible membership/subscription-like services.",Valid: Eligible recurring bill payment (membership/service).
"Dana Wu paid a one-time plumbing service bill of $200 with her card ending 0044 and is asking why she didn't get 4% cashback, thinking it's a 'bill payment'.",Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account.,Cashback - 4%,"Explain that the 4% cashback is only for *recurring* bill payments, not one-time service bills.","Invalid: Payment is one-time, not a recurring bill payment."
Dana Wu purchased $500 worth of office supplies for her home business at 'OfficeMart' using her card ending 0044 and is complaining about not getting 4% cashback.,"You will earn 4% Cash Back on the first $25,000 you spend annually on eligible purchases on the Account at merchants classified in the Visa Inc. (Visa) network as Grocery Stores & Supermarkets (Merchant Code 5411) and Recurring Bill Payments.",Cashback - 4%,Explain that office supply stores are not eligible categories (Grocery Stores & Supermarkets or Recurring Bill Payments) for the 4% cashback.,Invalid: Purchase category (office supplies) is not eligible for 4% cashback.
"Dana Wu made a small grocery purchase of $25 at 'Family Grocer' (Merchant Code 5411) with her card ending 0044, but the cashback was not applied.","You will earn 4% Cash Back on the first $25,000 you spend annually on eligible purchases on the Account at merchants classified in the Visa Inc. (Visa) network as Grocery Stores & Supermarkets (Merchant Code 5411) and Recurring Bill Payments.",Cashback - 4%,Apply missing 4% cashback for the eligible grocery purchase.,"Valid: Eligible grocery purchase, likely a processing error."
"Dana Wu's doctor's office automatically charges a $30 co-pay to her card ending 0044 after each visit, and she expects 4% cashback, considering it a 'recurring' medical bill.","Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account. Recurring Bill Payments are typically for payments on things like telecommunication, insurance, memberships, subscription payments, etc.",Cashback - 4%,"Explain that medical co-pays, while potentially regular, are not typically classified as eligible 'recurring bill payments' under the policy's defined categories.",Invalid: Medical co-pays are not eligible recurring bill payments.
Dana Wu set up a monthly recurring donation of $50 to a charity using her card ending 0044 and is asking why she isn't getting 4% cashback.,"Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account. Recurring Bill Payments are typically for payments on things like telecommunication, insurance, memberships, subscription payments, etc.",Cashback - 4%,"Explain that charitable donations, even if recurring, are typically excluded from cashback programs and do not fall under the eligible 'recurring bill payments' categories.",Invalid: Charitable donations are generally excluded from cashback.
"Dana Wu ordered $60 worth of food from 'DineDash' (a food delivery app) from a restaurant using her card ending 0044 and expects 4% cashback, thinking it's a grocery purchase.","You will earn 4% Cash Back on the first $25,000 you spend annually on eligible purchases on the Account at merchants classified in the Visa Inc. (Visa) network as Grocery Stores & Supermarkets (Merchant Code 5411) and Recurring Bill Payments.",Cashback - 4%,"Explain that food delivery services, when purchasing from restaurants, are classified as dining/restaurant, not grocery, and thus are not eligible for 4% cashback.",Invalid: Merchant (restaurant via delivery app) is not classified as an eligible grocery store.
"Dana Wu's monthly phone bill of $70 is automatically paid using her card ending 0044, but she has not received 4% cashback for the last few months.","Recurring Bill Payments are payments made on a monthly or regular basis automatically (that you set up directly with a merchant) billed by the merchant to your Account. Recurring Bill Payments are typically for payments on things like telecommunication, insurance, memberships, subscription payments, etc.",Cashback - 4%,Apply missing 4% cashback for the recurring phone bill payments.,Valid: Eligible recurring bill payment (telecommunication).
Dana Wu is complaining that her 4% cashback was reversed after she returned $50 worth of groceries she purchased last week with her card ending 0044.,You will earn 4% Cash Back on ... eligible purchases...,Cashback - 4%,"Explain that cashback is earned on *net* purchases; when items are returned, the corresponding cashback is typically reversed as the purchase is no longer considered 'eligible'.",Invalid: Cashback reversal due to returned merchandise is standard policy.
